ts,dir,hex,id,error,params,valid,note
22:15:53.423,RX,FFFF6F7D2AA8D8B6CF7AB087F953BA0071CE5F08204610A0090E884000F7D7D7FFFC2976C91B7BDDD5BCDBA887B3B05548288BE3AC12001300A012080400F67EFFC6DFFC9F0FFEDBFFFABE67EFBFF3B2F7EFF647FD6EFAFDFFF7DF15AFFC5CBF6F993FF7A47FAF36AFEBBFED375F7FEFFBBFF75FB6EDFFF7F97F7DEF7BFFE097AFD9,111,错误码 42,A8D8B6CF7AB087F953BA0071CE5F08204610A0090E884000F7D7D7FFFC2976C91B7BDDD5BCDBA887B3B05548288BE3AC12001300A012080400F67EFFC6DFFC9F0FFEDBFFFABE67EFBFF3B2F7EFF647FD6EFAFDFFF7DF15AFFC5CBF6F993FF7A47FAF36AFEBBFED375F7FEFFBBFF75FB6EDFFF7F97F7DEF7BFFE097AF,False,
22:15:53.606,RX,FFFFAFFFFBD1FABFDFB7FF6F5D7D7F8F5CF9BFA2E77CEF7EDFDF7E15FAF59D3BF7FFF9E9FB2FFFBD7EFAD7BFCFFFBD6DFBB3FFAFF2ED7FFE3E4B7FF77F3FEF63DFEDFFFDFDEF7FDF69BB967FFB5FE6ABFEFDDBFDEFDBBDB17F6F7EF7A49DFBFF7EF7FFFC3FFFDB5EEFF6FE6FFCEF9FFFFEFFBEBBF7FFFBDF92CEFAF7F975FAF7FFD79FAD5FDFFE3EFF5CEEDBFF9FFD79FEB97AB6D7DFFEDFFF2DFDDFB3BED6FBFEFFB0F3E6FBEBFFD8EFCFEFD2DABF3CDB35FFB79FB7EFF1E36EEDBB37E9F27BB0FFFFFF37DFFB796EBFF5DEDFFEB2FF76BD37FFD7FFFF79EF937BA57FD7DFBB3F7DEF67F7F7FFE7FFFD56F3DFAFFDDD3FFDBBCF7FBFF3DFBE9DFEDFB5BFABF77BF7F537,175,错误码 251,D1FABFDFB7FF6F5D7D7F8F5CF9BFA2E77CEF7EDFDF7E15FAF59D3BF7FFF9E9FB2FFFBD7EFAD7BFCFFFBD6DFBB3FFAFF2ED7FFE3E4B7FF77F3FEF63DFEDFFFDFDEF7FDF69BB967FFB5FE6ABFEFDDBFDEFDBBDB17F6F7EF7A49DFBFF7EF7FFFC3FFFDB5EEFF6FE6FFCEF9FFFFEFFBEBBF7FFFBDF92CEFAF7F975FAF7FFD79FAD5FDFFE3EFF5CEEDBFF9FFD79FEB97AB6D7DFFEDFFF2DFDDFB3BED6FBFEFFB0F3E6FBEBFFD8EFCFEFD2DABF3CDB35FFB79FB7EFF1E36EEDBB37E9F27BB0FFFFFF37DFFB796EBFF5DEDFFEB2FF76BD37FFD7FFFF79EF937BA57FD7DFBB3F7DEF67F7F7FFE7FFFD56F3DFAFFDDD3FFDBBCF7FBFF3DFBE9DFEDFB5BFABF77BF7F5,False,
22:15:53.807,RX,FFFFEEFFB6FEFFEF3FE1FFDEBFFFFF9A77BB5F5FFBFEF0DDEEDBFEFFEC7FFDDEFBC9FFBBAB5DBEBB7FE7E5BFFC3DFBFFF37DB5E55DFFFFD2FAFEEFAF3DFEFFFEFFFABBFFFFFF553EFAFFFEEBF7FFFFFDBFEFDEFFAFEF7F0F77F627F28EFDFFCDFF6FFBDBFBDF7FFFB5FEEFEFFF8DF1BBDDFFEDEFFFFBF3E9FFBFBFFFDFEEFFFEFEFED7DBFFA3BEF5A7CDD3F6BD75CFFB9FDEFFDDD1E7FFECE7E9FFDFB77FDEBDFB7FFF93FFFEFDFF3F7DDD7FDFFFBF9F3D77FFEDFE5E59FFFFFFFEECF41BDAEDFF7C1F5FFCFE53BFEFF7FBFDFF7F9FFBFFF9FEFBED6FDDFFF9A3FF5EFFF9F7A9FF2B77EF7BFEFFF7CCEEA1DFEBF7DEF64FD7AFDFFEFFDFBDFFDFEFFDD3977AB7DA9B77FE,238,错误码 182,FEFFEF3FE1FFDEBFFFFF9A77BB5F5FFBFEF0DDEEDBFEFFEC7FFDDEFBC9FFBBAB5DBEBB7FE7E5BFFC3DFBFFF37DB5E55DFFFFD2FAFEEFAF3DFEFFFEFFFABBFFFFFF553EFAFFFEEBF7FFFFFDBFEFDEFFAFEF7F0F77F627F28EFDFFCDFF6FFBDBFBDF7FFFB5FEEFEFFF8DF1BBDDFFEDEFFFFBF3E9FFBFBFFFDFEEFFFEFEFED7DBFFA3BEF5A7CDD3F6BD75CFFB9FDEFFDDD1E7FFECE7E9FFDFB77FDEBDFB7FFF93FFFEFDFF3F7DDD7FDFFFBF9F3D77FFEDFE5E59FFFFFFFEECF41BDAEDFF7C1F5FFCFE53BFEFF7FBFDFF7F9FFBFFF9FEFBED6FDDFFF9A3FF5EFFF9F7A9FF2B77EF7BFEFFF7CCEEA1DFEBF7DEF64FD7AFDFFEFFDFBDFFDFEFFDD3977AB7DA9B77,False,
22:15:54.004,RX,FFFFFF9B9EFE29F7FBDDFFFF9FCC759D77FF3F523FBFEEFF388FFFDFD7DA9F5D3EFFBFE7FFF6D67EFADD95FEFBFFFEFFF7FEAFBEEFC6FF5BFBD2EF9FFDFEF5EDEAFDE6EFAFFBBF7F7D77BDBDFBFDFCF7F5FFBFE5F6E7FEB873FBB1FBC73FBF5F7FF5FFFEEF3F5FC7FFEFDFFDD6FCFB7DCFFD9EDFFF69DFD5BFBF7A5FE9EFFBBDEFCFFADFFDBEF7EFB276FF3DFEEEAFDF97FDB15FC773DD7F76FBDDFFEFFDFBBF,255,错误码 158,FE29F7FBDDFFFF9FCC759D77FF3F523FBFEEFF388FFFDFD7DA9F5D3EFFBFE7FFF6D67EFADD95FEFBFFFEFFF7FEAFBEEFC6FF5BFBD2EF9FFDFEF5EDEAFDE6EFAFFBBF7F7D77BDBDFBFDFCF7F5FFBFE5F6E7FEB873FBB1FBC73FBF5F7FF5FFFEEF3F5FC7FFEFDFFDD6FCFB7DCFFD9EDFFF69DFD5BFBF7A5FE9EFFBBDEFCFFADFFDBEF7EFB276FF3DFEEEAFDF97FDB15FC773DD7F76FBDDFFEFFDFB,False,
22:15:54.198,RX,FFFFFF977EFFD7FBFF27B9BFBBF6DFFDD5BEBAD6E3EFAE5AFFDFDABFFBFFEBFFFDFB3CDF7BBFFFF93FD6F9FD2DFFFEFFFF7FEFDBE33FFDFDFEF9F3BADFFBBBADFFFF1F6B8AD7FAF7F7DBBDFDDFADDD9ACBCDFFBFEEF8DDFFFBBFBFDFF7FFBFBF2BF97BF3FFFFE6DFDFFEDDF77FDDFBFFF7EFFBDBF7DF6FE3FBFDF7F7F7BFBFB67FE3FE7C9D7DF55DF1EFFFFD5ACB7DFF6F5FCFBFFFF9BCDB57D7BFFD,255,错误码 126,FFD7FBFF27B9BFBBF6DFFDD5BEBAD6E3EFAE5AFFDFDABFFBFFEBFFFDFB3CDF7BBFFFF93FD6F9FD2DFFFEFFFF7FEFDBE33FFDFDFEF9F3BADFFBBBADFFFF1F6B8AD7FAF7F7DBBDFDDFADDD9ACBCDFFBFEEF8DDFFFBBFBFDFF7FFBFBF2BF97BF3FFFFE6DFDFFEDDF77FDDFBFFF7EFFBDBF7DF6FE3FBFDF7F7F7BFBFB67FE3FE7C9D7DF55DF1EFFFFD5ACB7DFF6F5FCFBFFFF9BCDB57D7BF,False,
22:15:54.430,RX,FFFFDFBFF7EE9FDAFA7FAFF5C6BF7FEECEB7FFCFDFEFB3FFFFEFF7774BBFFFFABFF657FBD7ECF8EFF9FFBFDEFB346BBDCCEE77FFDFFF7BFFCB7BBEF6D96FB7DFFDE5CFFEFDBFFBF7BB377F7FDEFDFBFFFD3DFB5B7EFEEFDF2FEACFFEBCBBE6EFFBBFE9B7FE92B94EECF8D6FEFF9FBFFC5F6FF7EFFB6FFFDFBDDFFBBD9F6BDFFFFD97F76EF97FEFFFD9EEBBFFF7EEFBBF3CF88FFBFFBFFE3FF7B77FF37FAFBFE9FFF5EFBAEFABAFD7C5AF7BD363FF3FDF796FFDF7F1E6FFF7FFFFE7FF3FFF9FEFFD7FEADF,223,错误码 247,EE9FDAFA7FAFF5C6BF7FEECEB7FFCFDFEFB3FFFFEFF7774BBFFFFABFF657FBD7ECF8EFF9FFBFDEFB346BBDCCEE77FFDFFF7BFFCB7BBEF6D96FB7DFFDE5CFFEFDBFFBF7BB377F7FDEFDFBFFFD3DFB5B7EFEEFDF2FEACFFEBCBBE6EFFBBFE9B7FE92B94EECF8D6FEFF9FBFFC5F6FF7EFFB6FFFDFBDDFFBBD9F6BDFFFFD97F76EF97FEFFFD9EEBBFFF7EEFBBF3CF88FFBFFBFFE3FF7B77FF37FAFBFE9FFF5EFBAEFABAFD7C5AF7BD363FF3FDF796FFDF7F1E6FFF7FFFFE7FF3FFF9FEFFD7FEA,False,
22:15:54.686,RX,FFFF3FFDFBFFCFDF7BF59CB7DDFDC7FABFFBF97E05DFF7DEFBFEFFFBFFCF97FBEB7DCAFBBB8FFFCBD76FEFFF97EEF7E5AFCFFF5FB5C7FF3FBFEF7FFDED597B7E3B7DDFCE997EEEBCFF67DD7776FF5EBFBFBBEF07DF6FFBF9FFF3F3FDFD7BF997BDFFBFFFF9FFDFBD6FAC7FFFEFFF5C77DFF09FF9BEFEFF7DBFBBDFFDBFEE9FEFBCE798FFBFFBFFF72DAFCFF7FDFCFEFF7BEEDFC75F7D7FFF5DDFFFDE9EBF7FFFF75B3FDFFEF9AFFDCDBFFDFFFFFFFDBFCBFFBFDECE7EEFBDAEDB6BBBFF7FF9FDBFFEBAFF3DFFDB3D7FDF7F3DB3FBDFD7756FFFEF3B2ADCFDDBF4F3B6FD7DB7EFF6F7BF7DF5FFFFFDFFF7BFFDDBFF4FFD3BEF7DBFDEFFCCFDBBFFF7D77DFDEAFF5EFF,63,错误码 251,FFCFDF7BF59CB7DDFDC7FABFFBF97E05DFF7DEFBFEFFFBFFCF97FBEB7DCAFBBB8FFFCBD76FEFFF97EEF7E5AFCFFF5FB5C7FF3FBFEF7FFDED597B7E3B7DDFCE997EEEBCFF67DD7776FF5EBFBFBBEF07DF6FFBF9FFF3F3FDFD7BF997BDFFBFFFF9FFDFBD6FAC7FFFEFFF5C77DFF09FF9BEFEFF7DBFBBDFFDBFEE9FEFBCE798FFBFFBFFF72DAFCFF7FDFCFEFF7BEEDFC75F7D7FFF5DDFFFDE9EBF7FFFF75B3FDFFEF9AFFDCDBFFDFFFFFFFDBFCBFFBFDECE7EEFBDAEDB6BBBFF7FF9FDBFFEBAFF3DFFDB3D7FDF7F3DB3FBDFD7756FFFEF3B2ADCFDDBF4F3B6FD7DB7EFF6F7BF7DF5FFFFFDFFF7BFFDDBFF4FFD3BEF7DBFDEFFCCFDBBFFF7D77DFDEAFF5E,False,
22:15:54.950,RX,FFFFFAFC1FEEFDB2FFFFFFBDD7FEDE7BFFFFEF6FF79FFE97DFEFEDBFF9BDFFFFE9FCDFDFBFF5E77E7FF77FC36FFFFFBF5CFFFFF9BF7FF7DDEEFB7FFFFFFFFF9FFFFB8FFFFE7FEF6FFF7FBB7FEFFFFBE7D5FEFFFDFFEBF7FDFFDFFFFCFEFFFBEF7BFEDFF7BBF6DFBFE7917FDFDFF175EFFDFB9FADEFBBFFBEEFFFCEFE7AFF48EFFFFB3FBFD7F5FFFFA7FDB7BFFEFFFFFFFFFEFDFFDEDABFFE7FFFFD7FDFBFF7B7FBF5FDFD7FEFFF7D8FBFFBFA5EFDABD2FDFAFE2FF7FFBB7FFBF4FF7DFFF57F33FFDFFFDBFF7FFFFFBFBAFFFDEFEFEFFFFFF7F1CEFFBBFFDE55FFAEB47A7FF7BF6FFFBE6FBFEF7FE3FFB7FF7EBEFEFF7DFF7F77FFFADEFEDDFF57CBDE9FCEC4FFFF,250,错误码 31,EEFDB2FFFFFFBDD7FEDE7BFFFFEF6FF79FFE97DFEFEDBFF9BDFFFFE9FCDFDFBFF5E77E7FF77FC36FFFFFBF5CFFFFF9BF7FF7DDEEFB7FFFFFFFFF9FFFFB8FFFFE7FEF6FFF7FBB7FEFFFFBE7D5FEFFFDFFEBF7FDFFDFFFFCFEFFFBEF7BFEDFF7BBF6DFBFE7917FDFDFF175EFFDFB9FADEFBBFFBEEFFFCEFE7AFF48EFFFFB3FBFD7F5FFFFA7FDB7BFFEFFFFFFFFFEFDFFDEDABFFE7FFFFD7FDFBFF7B7FBF5FDFD7FEFFF7D8FBFFBFA5EFDABD2FDFAFE2FF7FFBB7FFBF4FF7DFFF57F33FFDFFFDBFF7FFFFFBFBAFFFDEFEFEFFFFFF7F1CEFFBBFFDE55FFAEB47A7FF7BF6FFFBE6FBFEF7FE3FFB7FF7EBEFEFF7DFF7F77FFFADEFEDDFF57CBDE9FCEC4FF,False,
22:15:55.217,RX,FFFFFFFBD9C2FE77FFEFD7F6BFD7FFFF77AFF9BFBFBBFF37F7BFFFFDFCF7A37BCDFEFB7FF7F97F59F6FDFBFFD6FFB96E7DFFFEFDFAEF7AFF7FFFF9FEFEFFFB27FBFFBEEFFBC4EFBFC9F7CFFFFFBBFFFFAEFEEEBE7DA6FFDFFD7FFE5F75FBBFBB7CEF7D6B9FFFF7FFE7EEFB6E7DFFDFFE737FF2FF7F77735BFFF6FFFB5FBEFFEFBEFFFBFFF1F3FFDD7C79F5FBED7FFFBD9BFDFFABFEF3FDB3FFCD78DFE6DF73FFDFFFFFB7FDDDFDDD79FEFEFFFFFF4F6FFEDFBFEFFF67DB7EFF7FFFDF5EFFDBB77FF7F3F7F7FFEFEA7FDFFFBFFBDFBF7DF4FFFFEFDEDF57AFFDBDFFF7F7EFF7EF7DFFBFEFFCEDCF6FEDCFFEFEE6FF7DD7FF7DFFFD5FFEFDFFE3FFEFFFFF7BEEBF,255,错误码 217,C2FE77FFEFD7F6BFD7FFFF77AFF9BFBFBBFF37F7BFFFFDFCF7A37BCDFEFB7FF7F97F59F6FDFBFFD6FFB96E7DFFFEFDFAEF7AFF7FFFF9FEFEFFFB27FBFFBEEFFBC4EFBFC9F7CFFFFFBBFFFFAEFEEEBE7DA6FFDFFD7FFE5F75FBBFBB7CEF7D6B9FFFF7FFE7EEFB6E7DFFDFFE737FF2FF7F77735BFFF6FFFB5FBEFFEFBEFFFBFFF1F3FFDD7C79F5FBED7FFFBD9BFDFFABFEF3FDB3FFCD78DFE6DF73FFDFFFFFB7FDDDFDDD79FEFEFFFFFF4F6FFEDFBFEFFF67DB7EFF7FFFDF5EFFDBB77FF7F3F7F7FFEFEA7FDFFFBFFBDFBF7DF4FFFFEFDEDF57AFFDBDFFF7F7EFF7EF7DFFBFEFFCEDCF6FEDCFFEFEE6FF7DD7FF7DFFFD5FFEFDFFE3FFEFFFFF7BEE,False,
22:15:55.489,RX,FFFF6DBFFFFD1FFFFFFEB73E76BDFFEDF7FDFDDFFFFDFB3DBF7F1FFBF77FCAFEF9FFDFFDC7FFEF73D7FFB7F9FFFFF7F75B7EFFEF3ECB7FFFBFFBAFF7F7FBFFCFFBEBFDFFFEDBEEEF5FFFFFFEABEDDF7FBD6AEBEAFFF7EFEF7FABB7ABFEDD77FFFEFB7BFF7FFDF7F7FFBAFF5F7BFF7FFCD7FF3FF7FFFBEFEFFFDF2F3FFFDFFFF7FDFFFEFFFFFFBFFFF7FDFFFA8B3FFFF6EBF67EDB6F3FFFFDFFEF6FFF7DBEBFBFFEFB3FFB6BEFFFBFADDB6EF7EFFFEADFFFDEFD7FFF5BFDFD2FFDBFBFFFF7EFAFFFFFF57E,109,错误码 255,FD1FFFFFFEB73E76BDFFEDF7FDFDDFFFFDFB3DBF7F1FFBF77FCAFEF9FFDFFDC7FFEF73D7FFB7F9FFFFF7F75B7EFFEF3ECB7FFFBFFBAFF7F7FBFFCFFBEBFDFFFEDBEEEF5FFFFFFEABEDDF7FBD6AEBEAFFF7EFEF7FABB7ABFEDD77FFFEFB7BFF7FFDF7F7FFBAFF5F7BFF7FFCD7FF3FF7FFFBEFEFFFDF2F3FFFDFFFF7FDFFFEFFFFFFBFFFF7FDFFFA8B3FFFF6EBF67EDB6F3FFFFDFFEF6FFF7DBEBFBFFEFB3FFB6BEFFFBFADDB6EF7EFFFEADFFFDEFD7FFF5BFDFD2FFDBFBFFFF7EFAFFFFFF5,False,
