ts,dir,hex,id,error,params,valid,note
22:21:36.063,TX,FFFF0308032AFF0F2C0173,-,,,,
22:21:37.625,TX,FFFF0308032AFF0F2C0173,-,,,,
22:21:38.426,TX,FFFF0308032AFF0F2C0173,-,,,,
22:21:39.994,TX,FFFF010503280031,-,,,,
22:21:40.045,TX,FFFF01050355005E,-,,,,
22:21:40.097,TX,FFFF01050333003C,-,,,,
22:21:40.148,TX,FFFF01050355015F,-,,,,
22:21:40.201,TX,FFFF010503280132,-,,,,
22:21:41.345,TX,FFFF0308032AFF0F2C0173,-,,,,
22:21:42.161,TX,FFFF0308032AFF0F2C0173,-,,,,
22:21:44.913,TX,FFFF010503280031,-,,,,
22:21:44.967,TX,FFFF01050355005E,-,,,,
22:21:45.021,TX,FFFF010803090000000015,-,,,,
22:21:45.075,TX,FFFF01050333013D,-,,,,
22:21:45.129,TX,FFFF01050355015F,-,,,,
22:21:45.182,TX,FFFF010503280132,-,,,,
22:21:45.337,TX,FFFF0106032E20035B,-,,,,
22:21:48.734,TX,FFFF010503280031,-,,,,
22:21:48.787,TX,FFFF01050355005E,-,,,,
22:21:48.840,TX,FFFF010803090000000015,-,,,,
22:21:48.893,TX,FFFF01050333013D,-,,,,
22:21:48.947,TX,FFFF01050355015F,-,,,,
22:21:49.004,TX,FFFF010503280132,-,,,,
22:21:49.162,TX,FFFF0106032E20035B,-,,,,
22:21:50.920,TX,FFFF0305022E023A,-,,,,
22:21:51.601,TX,FFFF0305022E023A,-,,,,
