# HX711标定(bsp_hx711.h): d=去皮后diff; KNOWN_MASS_G=砝码克数, KNOWN_MASS_RAW_DIFF=仅放该砝码时本表d稳定值(含符号)
t_s,w_kg,w_g,raw,d
0.246052,-0.075000,-75.000,192511,192511
0.840131,-0.043000,-43.000,110591,110591
1.435779,-0.002000,-2.000,4095,4095
2.045211,-0.002000,-2.000,4095,4095
3.208851,0.021000,21.000,-53249,-53249
3.785231,0.056000,56.000,-143361,-143361
4.380279,0.083000,83.000,-212993,-212993
4.978738,0.059000,59.000,-151553,-151553
5.570234,0.090000,90.000,-229377,-229377
6.165801,0.096000,96.000,-245761,-245761
6.759929,0.013000,13.000,-32769,-32769
7.350815,0.000000,0.000,-1,-1
7.950002,0.011000,11.000,-28673,-28673
8.544992,0.018000,18.000,-45057,-45057
9.140768,0.014000,14.000,-36865,-36865
9.735834,0.022000,22.000,-57345,-57345
10.330785,0.045000,45.000,-114689,-114689
10.926175,0.045000,45.000,-114689,-114689
11.519861,0.019000,19.000,-49153,-49153
12.111303,0.002000,2.000,-4097,-4097
12.713827,0.008000,8.000,-20481,-20481
13.305831,0.016000,16.000,-40961,-40961
13.900195,0.019000,19.000,-49153,-49153
14.502631,0.022000,22.000,-57345,-57345
15.090677,0.021000,21.000,-53249,-53249
15.685375,0.022000,22.000,-57345,-57345
16.280970,0.016000,16.000,-40961,-40961
16.875871,0.006000,6.000,-16385,-16385
17.470218,0.018000,18.000,-45057,-45057
18.067446,0.006000,6.000,-16385,-16385
18.660479,0.013000,13.000,-32769,-32769
19.255248,0.005000,5.000,-12289,-12289
19.849922,0.003000,3.000,-8193,-8193
20.445035,0.003000,3.000,-8193,-8193
21.040866,0.021000,21.000,-53249,-53249
21.634905,0.002000,2.000,-4097,-4097
22.230829,0.002000,2.000,-4097,-4097
22.825901,0.008000,8.000,-20481,-20481
23.420188,0.011000,11.000,-28673,-28673
24.015474,0.010000,10.000,-24577,-24577
24.610104,0.002000,2.000,-4097,-4097
25.204839,0.003000,3.000,-8193,-8193
25.800631,0.019000,19.000,-49153,-49153
26.395639,0.010000,10.000,-24577,-24577
26.990069,0.022000,22.000,-57345,-57345
27.585607,0.013000,13.000,-32769,-32769
28.180371,0.013000,13.000,-32769,-32769
28.775737,0.018000,18.000,-45057,-45057
29.370601,0.011000,11.000,-28673,-28673
29.965883,0.003000,3.000,-8193,-8193
30.560826,0.003000,3.000,-8193,-8193
31.155817,0.047000,47.000,-118785,-118785
31.750518,0.006000,6.000,-16385,-16385
32.348653,0.045000,45.000,-114689,-114689
32.940682,0.043000,43.000,-110593,-110593
33.535658,0.050000,50.000,-126977,-126977
34.130456,0.042000,42.000,-106497,-106497
34.724997,0.048000,48.000,-122881,-122881
35.320194,0.029000,29.000,-73729,-73729
35.915132,0.034000,34.000,-86017,-86017
36.510609,0.027000,27.000,-69633,-69633
37.105468,0.043000,43.000,-110593,-110593
37.700534,0.002000,2.000,-4097,-4097
38.270610,0.006000,6.000,-16385,-16385
38.835514,0.006000,6.000,-16385,-16385
39.431261,0.022000,22.000,-57345,-57345
40.595993,0.006000,6.000,-16385,-16385
41.089056,0.010000,10.000,-24577,-24577
41.597122,0.008000,8.000,-20481,-20481
42.091892,0.000000,0.000,-1,-1
42.584525,0.003000,3.000,-8193,-8193
43.095004,0.010000,10.000,-24577,-24577
43.591591,0.047000,47.000,-118785,-118785
44.087674,0.045000,45.000,-114689,-114689
44.595826,0.042000,42.000,-106497,-106497
45.093470,0.040000,40.000,-102401,-102401
45.589502,0.034000,34.000,-86017,-86017
46.085798,0.026000,26.000,-65537,-65537
46.594914,0.034000,34.000,-86017,-86017
47.087887,0.034000,34.000,-86017,-86017
