# HX711标定(bsp_hx711.h): d=去皮后diff; KNOWN_MASS_G=砝码克数, KNOWN_MASS_RAW_DIFF=仅放该砝码时本表d稳定值(含符号)
t_s,w_kg,w_g,raw,d
47.584445,0.032000,32.000,-81921,-81921
48.096508,0.048000,48.000,-122881,-122881
48.584569,0.029000,29.000,-73729,-73729
49.093977,0.013000,13.000,-32769,-32769
49.587576,0.038000,38.000,-98305,-98305
50.084968,0.026000,26.000,-65537,-65537
50.599105,0.047000,47.000,-118785,-118785
51.092982,0.045000,45.000,-114689,-114689
51.586769,0.042000,42.000,-106497,-106497
52.095880,0.000000,0.000,-1,-1
52.588748,0.045000,45.000,-114689,-114689
53.094416,0.000000,0.000,-1,-1
53.585314,0.029000,29.000,-73729,-73729
54.097961,0.045000,45.000,-114689,-114689
54.588248,0.037000,37.000,-94209,-94209
55.098104,0.029000,29.000,-73729,-73729
55.593429,0.034000,34.000,-86017,-86017
56.089101,0.032000,32.000,-81921,-81921
56.585982,0.019000,19.000,-49153,-49153
57.097878,0.003000,3.000,-8193,-8193
57.593410,0.061000,61.000,-155649,-155649
58.089319,0.034000,34.000,-86017,-86017
58.585358,0.026000,26.000,-65537,-65537
59.096128,0.037000,37.000,-94209,-94209
59.592092,0.016000,16.000,-40961,-40961
60.089202,0.022000,22.000,-57345,-57345
60.598619,0.035000,35.000,-90113,-90113
61.100660,0.013000,13.000,-32769,-32769
61.595888,0.032000,32.000,-81921,-81921
62.092111,0.032000,32.000,-81921,-81921
62.599621,0.029000,29.000,-73729,-73729
63.093119,0.037000,37.000,-94209,-94209
63.585779,0.029000,29.000,-73729,-73729
64.097219,0.048000,48.000,-122881,-122881
64.589743,0.032000,32.000,-81921,-81921
65.089641,0.080000,80.000,-204801,-204801
65.599679,0.019000,19.000,-49153,-49153
66.096176,0.035000,35.000,-90113,-90113
66.588616,0.029000,29.000,-73729,-73729
67.084942,0.032000,32.000,-81921,-81921
67.596588,0.032000,32.000,-81921,-81921
68.093282,0.106000,106.000,-270337,-270337
68.586641,0.010000,10.000,-24577,-24577
69.096968,0.034000,34.000,-86017,-86017
69.595986,0.048000,48.000,-122881,-122881
70.088496,0.032000,32.000,-81921,-81921
70.598043,0.035000,35.000,-90113,-90113
71.095303,0.032000,32.000,-81921,-81921
71.591476,0.003000,3.000,-8193,-8193
72.098069,0.027000,27.000,-69633,-69633
72.595904,0.029000,29.000,-73729,-73729
73.090674,0.029000,29.000,-73729,-73729
73.597983,0.027000,27.000,-69633,-69633
74.092398,0.029000,29.000,-73729,-73729
74.584564,0.029000,29.000,-73729,-73729
75.083500,0.006000,6.000,-16385,-16385
75.593365,0.022000,22.000,-57345,-57345
76.092484,0.035000,35.000,-90113,-90113
76.587362,0.003000,3.000,-8193,-8193
77.100983,0.021000,21.000,-53249,-53249
77.592304,0.022000,22.000,-57345,-57345
78.087200,0.022000,22.000,-57345,-57345
78.599827,0.013000,13.000,-32769,-32769
79.096888,0.019000,19.000,-49153,-49153
79.591363,0.019000,19.000,-49153,-49153
80.091887,0.144000,144.000,-368641,-368641
80.587135,0.016000,16.000,-40961,-40961
81.098293,0.019000,19.000,-49153,-49153
81.590213,0.128000,128.000,-327681,-327681
82.088644,0.003000,3.000,-8193,-8193
82.597357,0.014000,14.000,-36865,-36865
83.095946,0.006000,6.000,-16385,-16385
83.587794,0.022000,22.000,-57345,-57345
84.094203,0.011000,11.000,-28673,-28673
84.587133,0.003000,3.000,-8193,-8193
85.093255,0.006000,6.000,-16385,-16385
85.585218,0.019000,19.000,-49153,-49153
86.085424,0.013000,13.000,-32769,-32769
86.595740,0.019000,19.000,-49153,-49153
87.086353,0.019000,19.000,-49153,-49153
87.596922,0.022000,22.000,-57345,-57345
88.091088,0.019000,19.000,-49153,-49153
88.585321,0.022000,22.000,-57345,-57345
89.101452,0.014000,14.000,-36865,-36865
89.594683,0.013000,13.000,-32769,-32769
90.085055,0.013000,13.000,-32769,-32769
90.593542,0.016000,16.000,-40961,-40961
91.085817,0.014000,14.000,-36865,-36865
91.595277,0.016000,16.000,-40961,-40961
92.092752,0.006000,6.000,-16385,-16385
92.585891,0.008000,8.000,-20481,-20481
93.084268,0.008000,8.000,-20481,-20481
93.584889,0.006000,6.000,-16385,-16385
94.085245,0.010000,10.000,-24577,-24577
94.585747,0.006000,6.000,-16385,-16385
95.081960,0.000000,0.000,-1,-1
95.585756,0.000000,0.000,-1,-1
96.085989,0.006000,6.000,-16385,-16385
96.585752,0.005000,5.000,-12289,-12289
97.090784,0.455000,455.000,-8193,-8193
97.589937,0.000000,0.000,-1,-1
98.090855,1.137000,1137.000,-20481,-20481
98.590293,0.000000,0.000,-1,-1
99.090582,2.273000,2273.000,-40961,-40961
99.591333,0.000000,0.000,-1,-1
100.089886,0.455000,455.000,-8193,-8193
100.589909,1.364000,1364.000,-24577,-24577
101.091061,0.909000,909.000,-16385,-16385
101.590740,0.909000,909.000,-16385,-16385
102.090041,14.094000,14094.000,-253953,-253953
102.590415,1.364000,1364.000,-24577,-24577
103.090697,13.866000,13866.000,-249857,-249857
103.587979,0.000000,0.000,-1,-1
104.090281,0.682000,682.000,-12289,-12289
104.591020,0.909000,909.000,-16385,-16385
105.092434,1.137000,1137.000,-20481,-20481
105.589944,13.639000,13639.000,-245761,-245761
106.091159,13.412000,13412.000,-241665,-241665
106.590134,0.455000,455.000,-8193,-8193
107.107655,0.682000,682.000,-12289,-12289
107.590257,0.909000,909.000,-16385,-16385
108.090102,0.909000,909.000,-16385,-16385
108.590468,1.364000,1364.000,-24577,-24577
109.090932,0.000000,0.000,-1,-1
109.590348,0.909000,909.000,-16385,-16385
110.090663,13.639000,13639.000,-245761,-245761
110.590311,13.639000,13639.000,-245761,-245761
111.090280,12.730000,12730.000,-229377,-229377
111.590354,0.227000,227.000,-4097,-4097
112.090717,13.866000,13866.000,-249857,-249857
112.590025,13.639000,13639.000,-245761,-245761
113.090381,13.639000,13639.000,-245761,-245761
113.590703,14.094000,14094.000,-253953,-253953
114.089810,13.184000,13184.000,-237569,-237569
114.590175,12.730000,12730.000,-229377,-229377
115.090189,13.639000,13639.000,-245761,-245761
115.590067,13.184000,13184.000,-237569,-237569
116.090875,13.184000,13184.000,-237569,-237569
116.590670,11.820000,11820.000,-212993,-212993
117.090770,13.639000,13639.000,-245761,-245761
117.590856,13.639000,13639.000,-245761,-245761
118.090420,14.094000,14094.000,-253953,-253953
118.590719,13.639000,13639.000,-245761,-245761
119.090004,12.275000,12275.000,-221185,-221185
119.591586,14.094000,14094.000,-253953,-253953
120.111101,13.412000,13412.000,-241665,-241665
120.589990,12.730000,12730.000,-229377,-229377
121.090560,14.094000,14094.000,-253953,-253953
121.590985,14.094000,14094.000,-253953,-253953
122.090034,13.184000,13184.000,-237569,-237569
122.590753,12.730000,12730.000,-229377,-229377
123.090531,12.730000,12730.000,-229377,-229377
123.590787,13.639000,13639.000,-245761,-245761
124.090679,11.820000,11820.000,-212993,-212993
124.590686,12.730000,12730.000,-229377,-229377
125.090745,13.866000,13866.000,-249857,-249857
125.590590,0.000000,0.000,-1,-1
126.090126,11.820000,11820.000,-212993,-212993
126.590090,13.184000,13184.000,-237569,-237569
127.090565,13.184000,13184.000,-237569,-237569
127.589982,12.730000,12730.000,-229377,-229377
129.022975,14.094000,14094.000,-253953,-253953
129.022987,12.957000,12957.000,-233473,-233473
129.119213,13.866000,13866.000,-249857,-249857
129.590297,14.094000,14094.000,-253953,-253953
130.095348,13.639000,13639.000,-245761,-245761
130.590201,12.730000,12730.000,-229377,-229377
131.221305,13.184000,13184.000,-237569,-237569
131.596791,0.000000,0.000,-1,-1
132.090669,14.548000,14548.000,-262145,-262145
132.609043,13.184000,13184.000,-237569,-237569
133.092420,1.591000,1591.000,-28673,-28673
133.600452,13.866000,13866.000,-249857,-249857
134.090684,13.639000,13639.000,-245761,-245761
134.601158,12.957000,12957.000,-233473,-233473
135.090113,14.094000,14094.000,-253953,-253953
